,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,word_count,complex_word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
13,3662,SUNBEAM CORP/FL/,199908,19/8/1999,10-Q,edgar/data/3662/0000950170-99-001361.txt,142,547,-0.5878084171439646,14,0.420366431071159,5.7681465724284635,14573,6126,312,150,0.009744047210594936,0.037535167776024156,0.021409455842997322,0.010293007616825637,150
14,3662,SUNBEAM CORP/FL/,199911,8/11/1999,10-K/A,edgar/data/3662/0000889812-99-003241.txt,270,1315,-0.6593059932748858,12,0.42628654806667043,4.970514619226669,35638,15192,665,336,0.007576182726303384,0.03689881587069981,0.018659857455525,0.009428138503844212,336
15,3662,SUNBEAM CORP/FL/,199911,8/11/1999,10-Q/A,edgar/data/3662/0000950170-99-001639.txt,147,681,-0.6449275354529861,13,0.422960918950138,5.369184367580056,15583,6591,342,168,0.009433356863248412,0.04370146955015081,0.02194699351857794,0.0107809792722839,168
16,3662,SUNBEAM CORP/FL/,199911,8/11/1999,10-Q/A,edgar/data/3662/0000950170-99-001640.txt,110,662,-0.7150259058095519,14,0.42206081321654915,5.768824325286619,14043,5927,316,156,0.00783308409883928,0.047140924303923665,0.02250231432030193,0.011108737449262978,156
17,3662,SUNBEAM CORP/FL/,199911,15/11/1999,NT 10-Q,edgar/data/3662/0000950172-99-001626.txt,3,3,0.0,30,0.30134680134680136,12.120538720538722,594,179,5,3,0.005050505050505051,0.005050505050505051,0.008417508417508417,0.005050505050505051,3
18,3662,SUNBEAM CORP/FL/,199911,19/11/1999,10-Q,edgar/data/3662/0000950170-99-001856.txt,161,913,-0.7001862190873498,14,0.4294564039027412,5.771782561561096,19371,8319,420,194,0.008311393319911207,0.04713231118682567,0.02168189561715967,0.010014970832688038,194
19,3982,ALLIS CHALMERS ENERGY INC.,200603,22/3/2006,10-K,edgar/data/3982/0000950129-06-002926.txt,342,1265,-0.5743621651684118,13,0.4143304522109483,5.365732180884379,39915,16538,640,521,0.008568207440811725,0.03169234623575097,0.0160340724038582,0.013052737066265814,521
20,3982,ALLIS CHALMERS ENERGY INC.,200605,1/5/2006,10-K/A,edgar/data/3982/0000950129-06-004690.txt,30,40,-0.14285714081632656,15,0.40152725981175635,6.160610903924702,5631,2261,46,15,0.005327650506126798,0.007103534008169064,0.008169064109394424,0.002663825253063399,15
21,3982,ALLIS CHALMERS ENERGY INC.,200605,10/5/2006,10-Q,edgar/data/3982/0000950129-06-005244.txt,196,1080,-0.6927899681090988,16,0.4063647878404053,6.5625459151361625,31580,12833,330,652,0.006206459784673844,0.034198860037998734,0.01044965167827739,0.02064597846738442,652
22,3982,ALLIS CHALMERS ENERGY INC.,200607,24/7/2006,10-K/A,edgar/data/3982/0000950129-06-007243.txt,59,196,-0.5372548998539024,11,0.3947888898443546,4.5579155559377424,11629,4591,164,74,0.00507352308882965,0.016854415684925617,0.014102674348611231,0.0063634018402270185,74
23,3982,ALLIS CHALMERS ENERGY INC.,200607,24/7/2006,10-Q/A,edgar/data/3982/0000950129-06-007244.txt,31,120,-0.5894039696065962,11,0.39169211973121565,4.556676847892486,8185,3206,102,63,0.0037874160048869884,0.014660965180207697,0.012461820403176543,0.007697006719609041,63
24,3982,ALLIS CHALMERS ENERGY INC.,200608,14/8/2006,10-Q,edgar/data/3982/0000950129-06-007871.txt,57,101,-0.27848101089568983,10,0.3972464061550921,4.158898562462038,9878,3924,145,67,0.005770398866167241,0.01022474185057704,0.014679084834986839,0.006782749544442195,67
25,3982,ALLIS CHALMERS ENERGY INC.,200611,8/11/2006,10-Q,edgar/data/3982/0000950129-06-009522.txt,105,238,-0.387755100910335,11,0.4156072905498545,4.566242916219942,13058,5427,268,112,0.008041047633634554,0.018226374636238322,0.020523816817276764,0.008577117475876857,112
26,3982,ALLIS CHALMERS ENERGY INC.,200612,29/12/2006,10-Q/A,edgar/data/3982/0000950134-06-023819.txt,234,760,-0.5291750497694416,10,0.35024318349299927,4.1400972733972,33925,11882,266,374,0.006897568165070008,0.022402358142962417,0.007840825350036846,0.011024318349299926,374
27,3982,ALLIS CHALMERS ENERGY INC.,200703,15/3/2007,10-K,edgar/data/3982/0000950129-07-001381.txt,285,724,-0.4350842413923843,12,0.38204370939161253,4.952817483756646,33860,12936,712,271,0.00841701122268163,0.02138216184288246,0.021027761370348494,0.00800354400472534,271
